
Chosen parameter values: r = 1.0, a = 0.1, z = 1.5, e = 0.75, K = 25.0.


Final population value per unit area:
Predator, 2.01550190005783
Prey, 19.967181103536205

         334937 function calls (329744 primitive calls) in 0.702 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1868(readprofile)
       10    0.000    0.000    0.000    0.000 Tkinter.py:1900(__getattr__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1922(Pack)
       10    0.000    0.000    0.000    0.000 Tkinter.py:1926(pack_configure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1961(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2005(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2052(BaseWidget)
       10    0.000    0.000    0.000    0.000 Tkinter.py:2054(_setup)
       10    0.000    0.000    0.020    0.002 Tkinter.py:2079(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2108(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2115(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2143(Button)
        7    0.000    0.000    0.020    0.003 Tkinter.py:2145(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2222(Canvas)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2224(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:224(Variable)
        1    0.000    0.000    0.007    0.007 Tkinter.py:2299(_create)
        1    0.000    0.000    0.000    0.000 Tkinter.py:231(__init__)
        1    0.000    0.000    0.007    0.007 Tkinter.py:2316(create_image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2463(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2492(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2557(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2559(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2575(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2577(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2597(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:266(__str__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2688(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:269(set)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2813(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2818(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2823(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2850(Scale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2883(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2923(Text)
        1    0.003    0.003    0.003    0.003 Tkinter.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3251(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:326(StringVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3262(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:329(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3299(Image)
        9    0.000    0.000    0.001    0.000 Tkinter.py:3302(__init__)
        9    0.000    0.000    0.000    0.000 Tkinter.py:3326(__str__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3327(__del__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3363(PhotoImage)
        9    0.000    0.000    0.001    0.000 Tkinter.py:3365(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3427(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3442(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:348(IntVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3600(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3622(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:373(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3813(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3821(Tributton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:392(BooleanVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:428(Misc)
        1    0.000    0.000    0.000    0.000 Tkinter.py:519(focus_set)
        1    0.000    0.000    0.000    0.000 Tkinter.py:950(winfo_toplevel)
       97    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
       36    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
     1689    0.002    0.000    0.003    0.000 UserDict.py:4(__init__)
       79    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       14    0.012    0.001    0.145    0.010 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
       31    0.000    0.000    0.000    0.000 __init__.py:100(disallow_types)
        1    0.002    0.002    0.042    0.042 __init__.py:101(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
       22    0.002    0.000    0.013    0.001 __init__.py:1012(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1025(getLogger)
        1    0.002    0.002    0.069    0.069 __init__.py:106(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:106(with_metaclass)
        2    0.000    0.000    0.000    0.000 __init__.py:1071(_fixupParents)
        1    0.001    0.001    0.023    0.023 __init__.py:108(<module>)
       22    0.000    0.000    0.016    0.001 __init__.py:1088(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
        3    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1254(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:1298(addHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:131(metaclass)
        1    0.001    0.001    0.001    0.001 __init__.py:133(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:134(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:1370(get_backend)
      137    0.000    0.000    0.000    0.000 __init__.py:1384(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
       31    0.000    0.000    0.000    0.000 __init__.py:139(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        3    0.000    0.000    0.000    0.000 __init__.py:146(compare_versions)
        1    0.003    0.003    0.007    0.007 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        2    0.000    0.000    0.000    0.000 __init__.py:1567(getLogger)
       39    0.000    0.000    0.000    0.000 __init__.py:1574(unpack_labeled_data)
       39    0.000    0.000    0.002    0.000 __init__.py:1612(param)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.002    0.002    0.041    0.041 __init__.py:168(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:17(register)
       31    0.000    0.000    0.000    0.000 __init__.py:170(no)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        2    0.000    0.000    0.005    0.003 __init__.py:1735(inner)
        5    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.007    0.007 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:186(c_int)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:20(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        4    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.001    0.001    0.004    0.004 __init__.py:212(<module>)
        5    0.000    0.000    0.002    0.000 __init__.py:212(_is_writable_dir)
        4    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
        1    0.001    0.001    0.007    0.007 __init__.py:228(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:232(RenameImport)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:241(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:25(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
        1    0.002    0.002    0.002    0.002 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:265(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:269(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:280(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:294(loads)
       31    0.000    0.000    0.000    0.000 __init__.py:297(report)
        3    0.004    0.001    0.009    0.003 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:302(hooks)
        4    0.000    0.000    0.000    0.000 __init__.py:308(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
    17/11    0.000    0.000    0.001    0.000 __init__.py:319(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
       31    0.000    0.000    0.000    0.000 __init__.py:331(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:356(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:385(PyDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:401(suspend_hooks)
        2    0.002    0.001    0.021    0.010 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:425(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:428(checkdep_ps_distiller)
        2    0.001    0.001    0.010    0.005 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:469(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:48(<module>)
       26    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:491(CFunctionType)
        5    0.000    0.000    0.000    0.000 __init__.py:498(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
       11    0.000    0.000    0.000    0.000 __init__.py:513(_get_home)
        2    0.002    0.001    0.083    0.042 __init__.py:52(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:54(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.001    0.001    0.071    0.071 __init__.py:56(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:566(_get_xdg_config_dir)
        3    0.000    0.000    0.000    0.000 __init__.py:580(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
        4    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        5    0.000    0.000    0.002    0.000 __init__.py:594(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:60(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:629(_get_configdir)
        1    0.004    0.004    0.046    0.046 __init__.py:632(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:646(_addHandlerRef)
        3    0.000    0.000    0.001    0.000 __init__.py:654(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:656(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:665(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:666(_decode_filesystem_path)
        1    0.000    0.000    0.000    0.000 __init__.py:673(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:694(createLock)
        1    0.000    0.000    0.017    0.017 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:70(process_projection_requirements)
        4    0.000    0.000    0.002    0.001 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:718(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:737(exclude_local_folder_imports)
        8    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.001    0.001 __init__.py:752(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:764(setFormatter)
        2    0.000    0.000    0.013    0.007 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:820(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:827(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:850(RcParams)
      250    0.000    0.000    0.000    0.000 __init__.py:859(<genexpr>)
       24    0.000    0.000    0.005    0.000 __init__.py:866(__init__)
     1031    0.001    0.000    0.012    0.000 __init__.py:870(__setitem__)
        2    0.003    0.002    0.009    0.005 __init__.py:88(<module>)
     6548    0.005    0.000    0.005    0.000 __init__.py:890(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:891(FileHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:914(update)
        1    0.000    0.000    0.000    0.000 __init__.py:963(PlaceHolder)
        1    0.000    0.000    0.005    0.005 __init__.py:963(rc_params)
        1    0.000    0.000    0.000    0.000 __init__.py:969(__init__)
       22    0.000    0.000    0.000    0.000 __init__.py:983(is_url)
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
       44    0.000    0.000    0.002    0.000 __init__.py:994(_open_file_or_url)
        2    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        4    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
        2    0.000    0.000    0.000    0.000 _abcoll.py:63(__subclasshook__)
       10    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        1    0.002    0.002    0.015    0.015 _axes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _axes.py:123(set_title)
        2    0.000    0.000    0.005    0.003 _axes.py:1278(plot)
        1    0.000    0.000    0.000    0.000 _axes.py:186(set_xlabel)
        1    0.000    0.000    0.000    0.000 _axes.py:218(set_ylabel)
        3    0.000    0.000    0.000    0.000 _axes.py:244(_get_legend_handles)
        1    0.000    0.000    0.000    0.000 _axes.py:265(get_legend_handles_labels)
        1    0.000    0.000    0.004    0.004 _axes.py:285(legend)
        1    0.000    0.000    0.000    0.000 _axes.py:622(annotate)
        1    0.000    0.000    0.003    0.003 _axes.py:81(Axes)
        1    0.001    0.001    0.002    0.002 _base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _base.py:1134(ishold)
        2    0.000    0.000    0.000    0.000 _base.py:1138(hold)
        1    0.000    0.000    0.000    0.000 _base.py:1168(get_aspect)
        1    0.000    0.000    0.000    0.000 _base.py:1171(set_aspect)
        1    0.000    0.000    0.000    0.000 _base.py:1251(set_anchor)
        1    0.000    0.000    0.000    0.000 _base.py:128(_process_plot_var_args)
        1    0.000    0.000    0.000    0.000 _base.py:1306(apply_aspect)
        2    0.000    0.000    0.000    0.000 _base.py:140(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:153(set_prop_cycle)
        2    0.000    0.000    0.000    0.000 _base.py:166(__call__)
        2    0.000    0.000    0.002    0.001 _base.py:1697(add_line)
        1    0.000    0.000    0.000    0.000 _base.py:1716(_add_text)
        2    0.000    0.000    0.001    0.000 _base.py:1726(_update_line_limits)
        2    0.000    0.000    0.000    0.000 _base.py:187(set_lineprops)
        2    0.000    0.000    0.000    0.000 _base.py:1901(_process_unit_info)
        2    0.000    0.000    0.000    0.000 _base.py:195(_xy_from_xy)
        2    0.000    0.000    0.002    0.001 _base.py:2130(autoscale_view)
        1    0.000    0.000    0.132    0.132 _base.py:2205(draw)
        2    0.000    0.000    0.000    0.000 _base.py:233(_getdefaults)
        3    0.000    0.000    0.000    0.000 _base.py:2390(grid)
        4    0.000    0.000    0.000    0.000 _base.py:252(<genexpr>)
        2    0.000    0.000    0.000    0.000 _base.py:263(_setdefaults)
        1    0.000    0.000    0.000    0.000 _base.py:2638(set_axis_on)
        2    0.000    0.000    0.000    0.000 _base.py:2665(xaxis_inverted)
        2    0.000    0.000    0.000    0.000 _base.py:2670(get_xbound)
        2    0.000    0.000    0.001    0.000 _base.py:2683(set_xbound)
        6    0.000    0.000    0.000    0.000 _base.py:2710(get_xlim)
        2    0.000    0.000    0.000    0.000 _base.py:2716(set_xlim)
        2    0.000    0.000    0.001    0.000 _base.py:275(_makeline)
        1    0.000    0.000    0.000    0.000 _base.py:2808(get_xscale)
        2    0.000    0.000    0.000    0.000 _base.py:2925(yaxis_inverted)
        2    0.000    0.000    0.000    0.000 _base.py:2930(get_ybound)
        2    0.000    0.000    0.000    0.000 _base.py:2941(set_ybound)
        6    0.000    0.000    0.000    0.000 _base.py:2968(get_ylim)
        2    0.000    0.000    0.000    0.000 _base.py:2974(set_ylim)
        1    0.000    0.000    0.000    0.000 _base.py:3067(get_yscale)
        1    0.000    0.000    0.000    0.000 _base.py:3275(set_navigate)
        1    0.000    0.000    0.000    0.000 _base.py:3289(set_navigate_mode)
        2    0.000    0.000    0.001    0.001 _base.py:333(_plot_args)
        6    0.000    0.000    0.000    0.000 _base.py:346(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:3569(set_cursor_props)
        1    0.000    0.000    0.000    0.000 _base.py:3590(get_children)
        1    0.000    0.000    0.000    0.000 _base.py:3622(contains_point)
        4    0.000    0.000    0.001    0.000 _base.py:378(_grab_next_args)
        1    0.000    0.000    0.000    0.000 _base.py:400(_AxesBase)
        1    0.000    0.000    0.070    0.070 _base.py:411(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:44(_process_plot_format)
        1    0.000    0.000    0.033    0.033 _base.py:564(_init_axis)
        1    0.000    0.000    0.000    0.000 _base.py:574(set_figure)
        1    0.000    0.000    0.000    0.000 _base.py:592(_set_lim_and_transforms)
   211/95    0.000    0.000    0.020    0.000 _base.py:632(get_xaxis_transform)
       23    0.000    0.000    0.001    0.000 _base.py:657(get_xaxis_text1_transform)
       23    0.000    0.000    0.001    0.000 _base.py:683(get_xaxis_text2_transform)
   184/80    0.000    0.000    0.006    0.000 _base.py:709(get_yaxis_transform)
       20    0.000    0.000    0.001    0.000 _base.py:734(get_yaxis_text1_transform)
       20    0.000    0.000    0.001    0.000 _base.py:760(get_yaxis_text2_transform)
        2    0.000    0.000    0.001    0.000 _base.py:786(_update_transScale)
        1    0.000    0.000    0.000    0.000 _base.py:797(get_position)
        1    0.000    0.000    0.000    0.000 _base.py:804(set_position)
        1    0.000    0.000    0.000    0.000 _base.py:843(set_axes_locator)
        1    0.000    0.000    0.000    0.000 _base.py:853(get_axes_locator)
        6    0.000    0.000    0.000    0.000 _base.py:859(_set_artist_props)
        1    0.000    0.000    0.000    0.000 _base.py:869(_gen_axes_patch)
        1    0.000    0.000    0.001    0.001 _base.py:885(_gen_axes_spines)
        1    0.000    0.000    0.036    0.036 _base.py:905(cla)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:179(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:246(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:260(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:276(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
